***  
*   Special particles used to compose "quasi-particles" such as scalar states that are then built from K-matrix poles
*     
*
***
*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
3.8948E+03    ,1.1E-02,1.1E-02,2.96E+00    ,2.1E-03,2.1E-03,1  ,+,1   ,+,-,B , 999443,   0, ,R,Z(c)(3900)       ,cCuU
3.8948E+03    ,1.1E-02,1.1E-02,2.96E+00    ,2.1E-03,2.1E-03,1  ,+,1   ,+,-,B , 999444,   +, ,R,Z(c)(3900)       ,cCuD

4.024E+03    ,5.0E-01,5.0E-01,13.0         ,-1     ,-1     ,0  ,?,1   ,-,+,B,       99999961,   +, ,R,Z(4020)          ,??
4.054E+03    ,5.0E-01,5.0E-01,45.0         ,-1     ,-1     ,0  ,?,0   ,-,+,B,       19999996,   +, ,R,Z(4050)P          ,??
4.054E+03    ,5.0E-01,5.0E-01,45.0         ,-1     ,-1     ,0  ,?,1   ,-,+,B,       29999996,   +, ,R,Z(4050)V          ,??
4.054E+03    ,5.0E-01,5.0E-01,45.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,       39999996,   +, ,R,Z(4050)A          ,??
4.054E+03    ,5.0E-01,5.0E-01,45.0         ,-1     ,-1     ,0  ,?,0   ,-,+,B,       119999996,   +, ,R,Z(4055)P          ,??
4.054E+03    ,5.0E-01,5.0E-01,45.0         ,-1     ,-1     ,0  ,?,1   ,-,+,B,       129999996,   +, ,R,Z(4055)V          ,??
4.054E+03    ,5.0E-01,5.0E-01,45.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,       139999996,   +, ,R,Z(4055)A          ,??
4.054E+03    ,5.0E-01,5.0E-01,45.0         ,-1     ,-1     ,0  ,?,2   ,-,+,B,       2129999996,   +, ,R,Z(4055)T          ,??
4.054E+03    ,5.0E-01,5.0E-01,45.0         ,-1     ,-1     ,0  ,?,2   ,+,+,B,       2139999996,   +, ,R,Z(4055)PT          ,??
4.096E+03    ,5.0E-01,5.0E-01,152.0         ,-1     ,-1     ,0  ,?,1   ,-,+,B,       49999996,   +, ,R,Z(4100)          ,??
4.196E+03    ,5.0E-01,5.0E-01,370.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,      599999996,   +, ,R,Z(4200)          ,??               
4.239E+03    ,5.0E-01,5.0E-01,220.0         ,-1     ,-1     ,0  ,?,0   ,-,+,B,       69999996,   +, ,R,Z(4240)P          ,??
4.239E+03    ,5.0E-01,5.0E-01,220.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,       79999996,   +, ,R,Z(4240)A          ,??
4.239E+03    ,5.0E-01,5.0E-01,220.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,       179999996,   +, ,R,Z(4240)V          ,??
4.239E+03    ,5.0E-01,5.0E-01,220.0         ,-1     ,-1     ,0  ,?,2   ,-,+,B,       279999996,   +, ,R,Z(4240)T          ,??
4.239E+03    ,5.0E-01,5.0E-01,220.0         ,-1     ,-1     ,0  ,?,2   ,+,+,B,       379999996,   +, ,R,Z(4240)PT          ,??
4.239E+03    ,5.0E-01,5.0E-01,220.0         ,-1     ,-1     ,0  ,?,0   ,-,+,B,       169999996,   +, ,R,Z(4250)P          ,??
4.239E+03    ,5.0E-01,5.0E-01,220.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,       1179999996,   +, ,R,Z(4250)A          ,??
4.475E+03    ,5.0E-01,5.0E-01,172.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,       9999997,   +, ,R,Z(4430)          ,??

**
3.991E+03    ,5.0E-01,5.0E-01,102.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,      9999999916,     +, ,R,Zs(4000)          ,??
4.260E+03    ,5.0E-01,5.0E-01,289.0         ,-1     ,-1     ,0  ,?,1   ,+,+,B,       199997,     +, ,R,Zs(4220)A          ,??
4.260E+03    ,5.0E-01,5.0E-01,289.0         ,-1     ,-1     ,0  ,?,1   ,-,+,B,       299997,   +, ,R,Zs(4220)V          ,??
4.260E+03    ,5.0E-01,5.0E-01,289.0         ,-1     ,-1     ,0  ,?,0   ,-,+,B,       399997,   +, ,R,Zs(4220)P          ,??
*
*
4.116E+03   ,1.0E+00,1.0E+00,13.00E+01    ,1.0E+01,1.0E+01,0  ,-,1   ,+,-, ,99999000443,   0, ,R,X(4140)        ,cC              
4.116E+03   ,1.0E+00,1.0E+00,13.00E+01    ,1.0E+01,1.0E+01,0  ,-,2   ,-,-, ,700443,   0, ,R,X(4160)        ,cC              
4.295E+03   ,1.0E+00,1.0E+00,5.30E+01    ,1.0E+01,1.0E+01,0   ,-,1   ,+,-, ,7700443,  0, ,R,X(4274)        ,cC   
4.295E+03   ,1.0E+00,1.0E+00,5.30E+01    ,1.0E+01,1.0E+01,0   ,-,0   ,-,-, ,1999999000443,  0, ,R,X(4350)P        ,cC             
